Respondent ID,What is your current professional affiliation?,,"Please rank all the options when you would recommend using an LLM to help fix a software bug.Here, 1 = most effective and 6 = least effective. You can also drag each option to adjust its ranking.",,,,,,"Please rank all the options when you would restrict the use of an LLM to help fix a software bug.Here, 1 = most effective and 6 = least effective. You can also drag each option to adjust its ranking.",,,,,,"Please rank all the security policies that an organization should enforce when using LLM for bug fixing.Here, 1 = most effective and 6 = least effective. You can also drag each option to adjust its ranking.",,,,,,"Please rank all the validation processes LLM-generated code should go through.Here, 1 = most effective and 6 = least effective. You can also drag each option to adjust its ranking.",,,,,,"Please rank all the measures LLM-generated bug fixes should undergo to ensure accountability.Here, 1 = most effective and 6 = least effective. You can also drag each option to adjust its ranking.",,,,,,"Please rank all the measures LLM-generated bug fixes should undergo to ensure transparency.Here, 1 = most effective and 6 = least effective. You can also drag each option to adjust its ranking.",,,,,,"Please rank all the following topics that are essential to disclose regarding LLM system usage.Here, 1 = most effective and 8 = least effective. You can also drag each option to adjust its ranking.",,,,,,,,"Please rank all the channels through which 'Disclosures of LLM Systems' should be communicated.Here, 1 = most effective and 8 = least effective. You can also drag each option to adjust its ranking.",,,,,,,,Please select the access level to the LLM usage disclosure documents.,,,,,
,Response,Other (please specify),For general code/program suggestions,For software documentation,For test case generation,For software testing,For software reviewing,When organizational policies and risk guidelines are followed,"Security-critical modules (e.g., authentication, encryption)","Proprietary or patented method (e.g., internal fraud detection algorithm, recommendation engine)","Compliance-sensitive areas (e.g., legal, finance)","Ethical decision-making systems (e.g., AI-driven hiring tools)","User privacy handling modules (e.g., consent, data collection)","High-availability or safety-critical systems (e.g., medical, aviation)","Comply with data protection regulations (e.g., GDPR, HIPAA, ISO/IEC 27001)",Restrict LLM access to confidential or proprietary business data,Encrypt or anonymize data before sending to LLM,Use on-premises LLMs for sensitive projects instead of cloud-based services.,Organizational approval before using third-party AI tools,Limit copy-paste from AI to avoid licensing/legal issues,Manual review by developers,Automated security scans and vulnerability testing,Extended testing for high-risk applications,Tag LLM-generated code for reviews,Require dual validation: one human reviewer + one automated test pass,Route AI-generated fixes to a separate branch for independent review and testing before merge,Assign credit to the LLM for code contributions,Assign liability if LLM fixes cause damage or failure,Assign responsibility to a human reviewer for reviewing LLM fixes,Document who approved or deployed the LLM-generated fix,"Log AI tool usage metadata (prompt, model, timestamp) in version control",Require sign-off from responsible person before merging LLM-generated fixes,Maintain logs of LLM-generated code,Define the types of help taken from LLM,Require LLM to provide reasoning behind their suggested fixes.,Tag reviewer approval,In-code labeling to flag AI-generated logic/code,Mandatory LLM disclosure note in commit messages,Purpose & Scope - What the LLM is used for and its limitations,"Code Contribution - What parts were AI-generated, including liability and credit","Data Handling - Specify how data is collected, stored, and processed","Model explanation - Description of how the AI model produced the fix (e.g., logic, reasoning, or influencing factors)",Ethical Standards - Steps taken to ensure fairness and avoid discrimination,Governance and Accountability - Define oversight roles and responsibilities for LLM management,Justification or intention - Why the AI tool was used,Validation level - How thoroughly the AI-generated fix was reviewed or tested,Official Reports - Internal reporting documents,"Version Control - Commit messages, diffs, or pull request summaries","User Documentation - Manuals, FAQs, or product help sections",Developer Dashboards - Logs or summaries tracking AI-generated code by developer each session,"Stakeholder Meetings - Presentations to partners, users, or clients",Regulatory Filings - Reports submitted for compliance/legal needs,"Method/ Class Level Code Documentation - Before each method/class, document types of help taken from LLM, liability%, credit%, and risk level","In-line Code Comments - Mark specific lines where LLM contributed (e.g., // generated by Copilot)",Peer Developers,Team Leads,Project Supervisor,QA Engineers,Legal/Compliance,Stakeholder
1.1002E+11,Industry - Software Development,,1,2,3,6,5,4,1,4,5,6,2,3,4,1,2,3,5,6,5,6,3,4,1,2,6,5,2,1,3,4,2,4,1,3,5,6,3,6,1,8,7,5,2,4,7,3,1,2,8,6,5,4,Limited access,Full access,Full access,Limited access,Limited access,No access
1.1002E+11,Industry - Software Development,,1,2,3,6,5,4,1,4,5,6,2,3,3,1,2,4,6,5,4,6,3,5,1,2,6,5,2,1,3,4,2,4,1,3,6,5,3,6,1,8,7,5,2,4,7,3,1,2,8,6,5,4,Limited access,Full access,Full access,Limited access,Limited access,No access
1.1002E+11,Industry - Software Development,,1,2,3,5,6,4,1,4,5,6,2,3,3,1,2,4,5,6,6,5,3,4,1,2,6,5,2,1,3,4,2,4,1,3,5,6,3,6,1,8,7,5,2,4,7,3,1,2,8,6,5,4,Limited access,Full access,Full access,Limited access,Limited access,No access
1.1002E+11,Industry - Software Development,,1,2,3,6,5,4,1,5,4,6,2,3,4,1,2,3,5,6,6,5,3,4,1,2,6,4,1,2,3,5,2,5,1,3,4,6,4,6,1,8,7,5,2,3,7,3,1,2,8,6,5,4,Limited access,Full access,Full access,Limited access,Full access,No access
1.1002E+11,Industry - Software Development,,1,2,3,6,5,4,2,4,5,6,1,3,2,1,3,5,4,6,5,6,3,4,1,2,6,5,2,1,3,4,2,4,1,3,5,6,3,5,1,8,7,6,2,4,7,3,1,2,8,6,5,4,Limited access,Full access,Full access,Limited access,Limited access,No access
1.1002E+11,Industry - Software Development,,1,2,3,6,5,4,1,4,6,5,2,3,4,1,2,3,5,6,5,6,2,4,1,3,6,5,2,1,3,4,2,4,1,3,5,6,3,6,1,8,7,5,2,4,7,3,1,2,8,6,5,4,Limited access,Full access,Full access,Limited access,Limited access,No access
1.1002E+11,Industry - Software Development,,1,2,3,6,5,4,1,4,5,6,2,3,3,1,2,4,5,6,5,6,3,4,1,2,6,5,2,1,3,4,2,4,1,3,5,6,3,6,1,8,7,5,2,4,7,3,1,2,8,6,5,4,Limited access,Full access,Full access,Limited access,Limited access,No access
1.1002E+11,Industry - Software Development,,1,2,3,6,5,4,1,4,5,6,2,3,3,1,2,4,5,6,5,6,3,4,1,2,6,5,2,1,3,4,2,4,1,3,5,6,3,6,1,8,7,5,2,4,7,3,1,2,8,6,5,4,Limited access,Full access,Full access,Limited access,Limited access,No access
1.1002E+11,Industry - Software Development,,1,2,3,6,5,4,1,4,5,6,2,3,3,1,2,4,5,6,5,6,3,4,1,2,6,5,2,1,3,4,2,4,1,3,5,6,3,6,1,8,7,5,2,4,7,3,1,2,8,6,5,4,Limited access,Full access,Full access,Limited access,Limited access,No access
1.1002E+11,Industry - Software Development,,1,2,3,6,5,4,1,4,5,6,2,3,3,1,2,4,5,6,5,6,3,4,1,2,6,5,2,1,3,4,2,4,1,3,5,6,3,6,1,8,7,5,2,4,7,3,1,2,8,6,5,4,Limited access,Full access,Full access,Limited access,Limited access,No access
1.1002E+11,Industry - Software Development,,1,2,3,6,5,4,1,4,5,6,2,3,3,1,2,4,5,6,5,6,3,4,1,2,6,5,2,1,3,4,2,4,1,3,5,6,3,6,1,8,7,5,2,4,7,3,1,2,8,6,5,4,Limited access,Full access,Full access,Limited access,Limited access,No access
1.1002E+11,Industry - Software Development,,1,2,3,6,5,4,1,4,5,6,2,3,3,1,2,4,5,6,5,6,3,4,1,2,6,5,2,1,3,4,2,4,1,3,5,6,3,6,1,8,7,5,2,4,7,3,1,2,8,6,5,4,Limited access,Full access,Full access,Limited access,Limited access,No access
1.1002E+11,Industry - Software Development,,1,2,3,6,5,4,1,4,5,6,2,3,3,1,2,4,5,6,5,6,3,4,1,2,6,5,2,1,3,4,2,4,1,3,5,6,3,6,1,8,7,5,2,4,7,3,1,2,8,6,5,4,Limited access,Full access,Full access,Limited access,Limited access,No access
