Respondent ID,What is your current professional affiliation?,Please identify your concerns about using LLMs in bug fixing. (Select all that apply),,,,,,,,,
,Response,"Inaccurate, hallucinated or misleading suggestions leading to new bugs","Unclear boundaries of LLM application in bug fixing (e.g., critical vs. non-critical code, production vs. experimental).",Security and privacy risks,Risk of skill degradation due to excessive LLM dependence,Lack of proper training on how to use LLMs effectively and safely,"Risk of unfair, biased, or non-inclusive code suggestions",Limited real-world impact of LLM-generated fixes,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",I don't have any concern
1.1002E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,Security and privacy risks,,Lack of proper training on how to use LLMs effectively and safely,,,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.1002E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,Security and privacy risks,,Lack of proper training on how to use LLMs effectively and safely,,,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.1002E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,Security and privacy risks,,,,,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.1002E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,Security and privacy risks,,,,,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.1002E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs","Unclear boundaries of LLM application in bug fixing (e.g., critical vs. non-critical code, production vs. experimental).",Security and privacy risks,,,,,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.1002E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,Security and privacy risks,,,,,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.1002E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,Security and privacy risks,,,,,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.1002E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,Security and privacy risks,,,,,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.1002E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,Security and privacy risks,,,,,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.1002E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,Security and privacy risks,Risk of skill degradation due to excessive LLM dependence,,,,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.1002E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,Security and privacy risks,Risk of skill degradation due to excessive LLM dependence,,,,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.1002E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,Security and privacy risks,Risk of skill degradation due to excessive LLM dependence,,,,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.1002E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,Security and privacy risks,Risk of skill degradation due to excessive LLM dependence,,,,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.1002E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,Security and privacy risks,Risk of skill degradation due to excessive LLM dependence,,,,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.1002E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,Security and privacy risks,Risk of skill degradation due to excessive LLM dependence,,,,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.1002E+11,Academia,,"Unclear boundaries of LLM application in bug fixing (e.g., critical vs. non-critical code, production vs. experimental).",Security and privacy risks,Risk of skill degradation due to excessive LLM dependence,Lack of proper training on how to use LLMs effectively and safely,"Risk of unfair, biased, or non-inclusive code suggestions",,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.10019E+11,Industry - QA,,"Unclear boundaries of LLM application in bug fixing (e.g., critical vs. non-critical code, production vs. experimental).",,,,"Risk of unfair, biased, or non-inclusive code suggestions",,,,
1.10019E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs","Unclear boundaries of LLM application in bug fixing (e.g., critical vs. non-critical code, production vs. experimental).",,Risk of skill degradation due to excessive LLM dependence,,,,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.10019E+11,Student,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,Security and privacy risks,Risk of skill degradation due to excessive LLM dependence,Lack of proper training on how to use LLMs effectively and safely,,,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.10019E+11,Unemployed,,,,Risk of skill degradation due to excessive LLM dependence,,,,,,
1.10019E+11,Student,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,Security and privacy risks,,,,,,,
1.10019E+11,Industry - QA,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,,Risk of skill degradation due to excessive LLM dependence,,,,,,
1.10019E+11,Academia,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,Security and privacy risks,Risk of skill degradation due to excessive LLM dependence,,,,Lack of accountability in LLM-generated fixes,,
1.10019E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs","Unclear boundaries of LLM application in bug fixing (e.g., critical vs. non-critical code, production vs. experimental).",,Risk of skill degradation due to excessive LLM dependence,,,Limited real-world impact of LLM-generated fixes,,,
1.10019E+11,Industry - QA,,,,Risk of skill degradation due to excessive LLM dependence,Lack of proper training on how to use LLMs effectively and safely,,Limited real-world impact of LLM-generated fixes,,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.10019E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs","Unclear boundaries of LLM application in bug fixing (e.g., critical vs. non-critical code, production vs. experimental).",Security and privacy risks,Risk of skill degradation due to excessive LLM dependence,,,,,,
1.10019E+11,Industry - Software Development,"Inaccurate, hallucinated or misleading suggestions leading to new bugs",,,Risk of skill degradation due to excessive LLM dependence,,"Risk of unfair, biased, or non-inclusive code suggestions",,Lack of accountability in LLM-generated fixes,,
1.10019E+11,Student,"Inaccurate, hallucinated or misleading suggestions leading to new bugs","Unclear boundaries of LLM application in bug fixing (e.g., critical vs. non-critical code, production vs. experimental).",Security and privacy risks,,Lack of proper training on how to use LLMs effectively and safely,,,Lack of accountability in LLM-generated fixes,"Transparency issues in LLM-generated bug fixes (e.g., declaration, documentation etc.)",
1.10019E+11,Academia,,,,Risk of skill degradation due to excessive LLM dependence,Lack of proper training on how to use LLMs effectively and safely,,,Lack of accountability in LLM-generated fixes,,
1.10019E+11,Industry - Software Development,,"Unclear boundaries of LLM application in bug fixing (e.g., critical vs. non-critical code, production vs. experimental).",Security and privacy risks,Risk of skill degradation due to excessive LLM dependence,,,,,,
