Respondent ID,What is your current professional affiliation?,"In a LOW-RISK software application, how likely are you to use LLMs for the following types of support during bug fixing?",,,,,"In a LOW-RISK software application, how much verification effort (on a scale from 1 to 10) would you assign when receiving the following types of support from an LLM during bug fixing?(1 = No verification required, 10 = Full manual verification required)",,,,,"In a LOW-RISK software application, imagine a scenario where a bug is fixed using LLM. For each type of support provided by the LLM, please indicate: (1) the level of credit you would assign to the LLM for the bug fix and (2) the level of liability you would assign to the LLM if the bug were to reoccur.(For each row, select one option under each column.)",,,,,,,,,,"In a HIGH-RISK software application, how likely are you to use LLMs for the following types of support during bug fixing?",,,,,"In a HIGH-RISK software application, how much verification effort (on a scale from 1 to 10) would you assign when receiving the following types of support from an LLM during bug fixing?(1 = No verification required, 10 = Full manual verification required)",,,,,"In a HIGH-RISK software application, imagine a scenario where a bug is fixed using LLM. For each type of support provided by the LLM, please indicate: (1) the level of credit you would assign to the LLM for the bug fix, (2) the level of likelihood of the bug reoccurring due to insufficient verification, and (3) the level of liability you would assign to the LLM if the bug were to reoccur.(For each row, select one option under each column.)",,,,,,,,,
,Response,Code Syntactic Assistance,Code Semantic Assistance,Contextual Suggestions,Documentation Lookup,Code Debug Assistance,Code Syntactic Assistance,Code Semantic Assistance,Contextual Suggestions,Documentation Lookup,Code Debug Assistance,Code Syntactic Assistance - Credit,Code Syntactic Assistance - Liability,Code Semantic Assistance - Credit,Code Semantic Assistance - Liability,Contextual Suggestions - Credit,Contextual Suggestions - Liability,Documentation Lookup - Credit,Documentation Lookup - Liability,Code Debug Assistance - Credit,Code Debug Assistance - Liability,Code Syntactic Assistance,Code Semantic Assistance,Contextual Suggestions,Documentation Lookup,Code Debug Assistance,Code Syntactic Assistance,Code Semantic Assistance,Contextual Suggestions,Documentation Lookup,Code Debug Assistance,Code Syntactic Assistance - Credit,Code Syntactic Assistance - Liability,Code Semantic Assistance - Credit,Code Semantic Assistance - Liability,Contextual Suggestions - Credit,Contextual Suggestions - Liability,Documentation Lookup - Credit,Documentation Lookup - Liability,Code Debug Assistance - Credit,Code Debug Assistance - Liability
1.1002E+11,Industry - Software Development,Very Likely,Moderate,Likely,Very Likely,Likely,6,8,7,6,7,76% - 100%,51% - 75%,0% - 25%,26% - 50%,51% - 75%,26% - 50%,76% - 100%,51% - 75%,0% - 25%,26% - 50%,Likely,Unlikely,Moderate,Likely,Moderate,9,10,10,9,10,51% - 75%,26% - 50%,0% - 25%,26% - 50%,26% - 50%,26% - 50%,51% - 75%,26% - 50%,26% - 50%,26% - 50%
1.1002E+11,Industry - Software Development,Very Likely,Moderate,Likely,Very Likely,Likely,6,9,8,7,9,76% - 100%,51% - 75%,0% - 25%,26% - 50%,51% - 75%,26% - 50%,76% - 100%,51% - 75%,0% - 25%,26% - 50%,Likely,Unlikely,Moderate,Likely,Moderate,9,10,10,9,10,51% - 75%,26% - 50%,0% - 25%,51% - 75%,26% - 50%,26% - 50%,51% - 75%,26% - 50%,26% - 50%,26% - 50%
1.1002E+11,Industry - Software Development,Very Likely,Moderate,Likely,Very Likely,Likely,6,9,8,7,8,76% - 100%,51% - 75%,0% - 25%,26% - 50%,51% - 75%,26% - 50%,76% - 100%,51% - 75%,0% - 25%,26% - 50%,Likely,Unlikely,Moderate,Likely,Moderate,9,10,10,9,10,51% - 75%,26% - 50%,0% - 25%,26% - 50%,26% - 50%,26% - 50%,51% - 75%,26% - 50%,26% - 50%,26% - 50%
1.1002E+11,Industry - Software Development,Very Likely,Moderate,Likely,Very Likely,Likely,6,9,7,6,9,76% - 100%,51% - 75%,0% - 25%,26% - 50%,51% - 75%,26% - 50%,76% - 100%,51% - 75%,0% - 25%,26% - 50%,Likely,Unlikely,Moderate,Likely,Moderate,8,10,10,8,10,51% - 75%,26% - 50%,0% - 25%,26% - 50%,26% - 50%,26% - 50%,51% - 75%,26% - 50%,26% - 50%,26% - 50%
1.1002E+11,Industry - Software Development,Very Likely,Moderate,Likely,Very Likely,Likely,6,8,7,6,7,76% - 100%,51% - 75%,0% - 25%,26% - 50%,51% - 75%,26% - 50%,76% - 100%,51% - 75%,0% - 25%,26% - 50%,Likely,Unlikely,Moderate,Likely,Moderate,8,10,10,9,10,51% - 75%,26% - 50%,0% - 25%,26% - 50%,26% - 50%,26% - 50%,51% - 75%,26% - 50%,26% - 50%,26% - 50%
1.1002E+11,Industry - Software Development,Very Likely,Moderate,Likely,Very Likely,Likely,6,10,9,7,9,76% - 100%,51% - 75%,0% - 25%,26% - 50%,51% - 75%,26% - 50%,76% - 100%,51% - 75%,0% - 25%,26% - 50%,Likely,Unlikely,Moderate,Likely,Moderate,7,9,9,8,10,51% - 75%,26% - 50%,0% - 25%,51% - 75%,26% - 50%,26% - 50%,51% - 75%,26% - 50%,26% - 50%,26% - 50%
1.1002E+11,Industry - Software Development,Very Likely,Moderate,Likely,Very Likely,Likely,6,9,8,7,8,76% - 100%,51% - 75%,0% - 25%,26% - 50%,51% - 75%,26% - 50%,76% - 100%,51% - 75%,0% - 25%,26% - 50%,Likely,Unlikely,Moderate,Likely,Moderate,8,10,10,9,9,51% - 75%,26% - 50%,0% - 25%,26% - 50%,26% - 50%,26% - 50%,51% - 75%,26% - 50%,26% - 50%,26% - 50%
1.1002E+11,Industry - Software Development,Very Likely,Moderate,Likely,Very Likely,Likely,6,10,9,7,10,76% - 100%,51% - 75%,0% - 25%,26% - 50%,51% - 75%,26% - 50%,76% - 100%,51% - 75%,0% - 25%,26% - 50%,Likely,Unlikely,Unlikely,Likely,Unlikely,8,10,10,9,10,51% - 75%,26% - 50%,0% - 25%,51% - 75%,26% - 50%,26% - 50%,51% - 75%,26% - 50%,26% - 50%,26% - 50%
1.1002E+11,Industry - Software Development,Very Likely,Moderate,Moderate,Very Likely,Likely,6,9,8,7,9,76% - 100%,51% - 75%,0% - 25%,26% - 50%,51% - 75%,26% - 50%,76% - 100%,51% - 75%,0% - 25%,26% - 50%,Likely,Unlikely,Moderate,Likely,Unlikely,8,9,9,8,9,51% - 75%,26% - 50%,0% - 25%,51% - 75%,26% - 50%,26% - 50%,51% - 75%,26% - 50%,26% - 50%,26% - 50%
1.1002E+11,Industry - Software Development,Very Likely,Very Likely,Moderate,Very Likely,Likely,6,10,7,7,10,76% - 100%,51% - 75%,0% - 25%,26% - 50%,51% - 75%,26% - 50%,76% - 100%,51% - 75%,0% - 25%,26% - 50%,Likely,Unlikely,Rarely,Likely,Unlikely,8,10,10,8,10,51% - 75%,26% - 50%,0% - 25%,51% - 75%,26% - 50%,26% - 50%,51% - 75%,26% - 50%,26% - 50%,26% - 50%
