Respondent ID,What concerns would you face when asked to fully disclose LLM involvement?,,,,,,,,,What personal benefits do you associate with following the AI usage disclosure policy?,,,,What concerns would you face when asked to ensure full human oversight of LLM-generated bug fixes?,,,,,,,,,What personal benefits do you associate with following the AI usage human oversight policy?,,,
,Increased workload- Efficiency/Time constraints,Intellectual property risk and security concerns,Reputational Impact- May raise doubts about code quality or team competence,Loss of control over own work,Fear of judgment about AI reliance,Legal/IP uncertainty,Lack of documentation tools,No concerns,Other (please specify),Disclosing AI usage in my code protects me from being unfairly blamed for bugs later.,I believe that documenting AI involvement increases trust in my contributions.,Transparency about AI usage improves team collaboration and communication.,I would be more likely to disclose LLM usage if it meant earning formal credit or recognition.,Added workload due to mandatory manual review,Lack of time or resources to verify every AI-generated change,Limited technical understanding of the AI-generated code,Uncertainty about who is accountable for mistakes,Absence of clear organizational standards for validation,Difficulty coordinating review responsibilities within the team,Over-reliance on automated tools makes manual oversight redundant,No concerns,Other (please specify),"I feel more confident deploying code that has gone through human oversight, even if it was AI-assisted.",Human validation of AI-generated fixes helps me learn and improve my own debugging skills.,"If oversight is enforced, I feel less personally responsible for future issues in the code.",I would get recognition for responsible coding.
1.1002E+11,Increased workload- Efficiency/Time constraints,Intellectual property risk and security concerns,Reputational Impact- May raise doubts about code quality or team competence,,Fear of judgment about AI reliance,,,,,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Added workload due to mandatory manual review,Lack of time or resources to verify every AI-generated change,,,,,,,,Strongly Agree,Strongly Agree,Strongly Disagree,Agree
1.1002E+11,,,Reputational Impact- May raise doubts about code quality or team competence,,,Legal/IP uncertainty,,,,Disagree,Agree,Agree,Agree,Added workload due to mandatory manual review,Lack of time or resources to verify every AI-generated change,,Uncertainty about who is accountable for mistakes,,,,,,Strongly Agree,Agree,Disagree,Agree
1.1002E+11,Increased workload- Efficiency/Time constraints,,Reputational Impact- May raise doubts about code quality or team competence,Loss of control over own work,,,,,,Agree,Agree,Strongly Agree,Disagree,Added workload due to mandatory manual review,Lack of time or resources to verify every AI-generated change,,,,,,,,Strongly Agree,Agree,Strongly Agree,Disagree
1.1002E+11,Increased workload- Efficiency/Time constraints,Intellectual property risk and security concerns,,,Fear of judgment about AI reliance,,Lack of documentation tools,,,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Added workload due to mandatory manual review,Lack of time or resources to verify every AI-generated change,,,,,Over-reliance on automated tools makes manual oversight redundant,,,Strongly Agree,Strongly Agree,Disagree,Strongly Agree
1.1002E+11,,Intellectual property risk and security concerns,Reputational Impact- May raise doubts about code quality or team competence,,Fear of judgment about AI reliance,Legal/IP uncertainty,,,,Disagree,Disagree,Disagree,Disagree,Added workload due to mandatory manual review,Lack of time or resources to verify every AI-generated change,,,,Difficulty coordinating review responsibilities within the team,Over-reliance on automated tools makes manual oversight redundant,,,Strongly Agree,Strongly Agree,Strongly Agree,Agree
1.1002E+11,,,,Loss of control over own work,,,,,,Strongly Disagree,Disagree,Agree,Agree,Added workload due to mandatory manual review,,,,,,Over-reliance on automated tools makes manual oversight redundant,,,Strongly Agree,Strongly Agree,Strongly Agree,Agree
1.1002E+11,,Intellectual property risk and security concerns,,,,,,No concerns,,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,,Lack of time or resources to verify every AI-generated change,,Uncertainty about who is accountable for mistakes,,,Over-reliance on automated tools makes manual oversight redundant,,,Strongly Agree,Agree,Agree,Agree
1.1002E+11,,,,,,,,No concerns,"Whenever using any kind of AI, the organization should always know and developers should always follow organization rules. In that case, no concerns.     Developers should not even upload one line of coad or any info to AI if it is not permitted by the org. If one does that and have to disclose that to the org later, pretty much all of the above will be concerning.",Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,,,,,,,,No concerns,"Shouldn't the concerns will be more if there is NO human oversight? AI generated code should never be commited without human oversight. It will definitely create problems, and will be more time consuming and expensive in the long run. And the person who is writting/commiting the code is always responsible. No matter if they use AI or not.",Strongly Agree,Strongly Agree,Agree,Strongly Agree
1.1002E+11,Increased workload- Efficiency/Time constraints,,,,,,,,,Disagree,Agree,Agree,Strongly Agree,Added workload due to mandatory manual review,Lack of time or resources to verify every AI-generated change,Limited technical understanding of the AI-generated code,Uncertainty about who is accountable for mistakes,,,,,,Agree,Agree,Disagree,Agree
1.1002E+11,,Intellectual property risk and security concerns,Reputational Impact- May raise doubts about code quality or team competence,,Fear of judgment about AI reliance,Legal/IP uncertainty,,,,Disagree,Agree,Agree,Disagree,,,Limited technical understanding of the AI-generated code,Uncertainty about who is accountable for mistakes,,Difficulty coordinating review responsibilities within the team,Over-reliance on automated tools makes manual oversight redundant,,,Strongly Agree,Strongly Agree,Agree,Strongly Agree
