Respondent ID,"If your organization were to adopt AI tools, what level of disclosure would you expect when using an LLM for bug fixing?",,,,,,"If your organization were to adopt AI tools, what level of human oversight would you expect when using an LLM for bug fixing?",,,,,
,LLM Usage Purpose,LLM Code Contribution,LLM Usage Pattern,LLM Usage Restriction,Disclosure Channel,Disclosure Access Level,Code Verification,Sensitive Data Protection,Security and Automated Testing,Review Responsibility,Credit and Liability Evaluation,Final Decision Ownership
1.1002E+11,Full Disclosure,Full Disclosure,Partial Disclosure,Full Disclosure,Partial Disclosure,Full Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Partial Human Oversight,Full Human Oversight
1.1002E+11,Partial Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Partial Human Oversight,Partial Human Oversight,Full Human Oversight
1.1002E+11,Full Disclosure,Partial Disclosure,Partial Disclosure,Full Disclosure,Full Disclosure,Partial Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight
1.1002E+11,Full Disclosure,Partial Disclosure,Partial Disclosure,Full Disclosure,Partial Disclosure,Full Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Partial Human Oversight,Full Human Oversight
1.1002E+11,Partial Disclosure,Partial Disclosure,Partial Disclosure,Partial Disclosure,Partial Disclosure,Partial Disclosure,Partial Human Oversight,Full Human Oversight,Partial Human Oversight,Partial Human Oversight,Partial Human Oversight,Partial Human Oversight
1.1002E+11,Partial Disclosure,Partial Disclosure,Partial Disclosure,Partial Disclosure,Partial Disclosure,Partial Disclosure,Partial Human Oversight,Partial Human Oversight,Partial Human Oversight,Partial Human Oversight,Partial Human Oversight,Full Human Oversight
1.1002E+11,Full Disclosure,Partial Disclosure,Partial Disclosure,Partial Disclosure,Full Disclosure,Full Disclosure,Full Human Oversight,Full Human Oversight,Partial Human Oversight,Partial Human Oversight,Full Human Oversight,Full Human Oversight
1.1002E+11,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight
1.1002E+11,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight
1.1002E+11,No Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Partial Human Oversight,Partial Human Oversight,Full Human Oversight
1.1002E+11,Partial Disclosure,Partial Disclosure,Partial Disclosure,Partial Disclosure,Partial Disclosure,Partial Disclosure,Full Human Oversight,Full Human Oversight,Partial Human Oversight,Full Human Oversight,Partial Human Oversight,Full Human Oversight
1.1002E+11,Full Disclosure,Partial Disclosure,Partial Disclosure,No Disclosure,No Disclosure,No Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight
1.1002E+11,Full Disclosure,Partial Disclosure,Partial Disclosure,Partial Disclosure,Partial Disclosure,Partial Disclosure,Partial Human Oversight,Partial Human Oversight,Full Human Oversight,Partial Human Oversight,Partial Human Oversight,Full Human Oversight
1.1002E+11,No Disclosure,No Disclosure,No Disclosure,Full Disclosure,No Disclosure,No Disclosure,Full Human Oversight,Full Human Oversight,Partial Human Oversight,Partial Human Oversight,Full Human Oversight,Full Human Oversight
,,,,,,,,,,,,
,Total Full = 8,Total Full = 5,Total Full = 4,Total Full = 8,Total Full = 6,Total Full = 7,Total Full = 11,Total Full = 12,Total Full = 9,Total Full = 7,Total Full = 6,Total Full = 13
,Full Disclosure = 57.14%,Full Disclosure = 35.71%,Full Disclosure = 28.57%,Full Disclosure = 57.14%,Full Disclosure = 42.86%,Full Disclosure = 50.00%,Full Oversight = 78.57%,Full Oversight = 85.71%,Full Oversight = 64.29%,Full Oversight = 50.00%,Full Oversight = 42.86%,Full Oversight = 92.86%
,Total Partial = 4,Total Partial = 8,Total Partial = 9,Total Partial = 5,Total Partial = 6,Total Partial = 5,Total Partial = 3,Total Partial = 2,Total Partial = 5,Total Partial = 7,Total Partial = 8,Total Partial = 1
,Partial Disclosure = 28.57%,Partial Disclosure = 57.14%,Partial Disclosure = 64.29%,Partial Disclosure = 35.71%,Partial Disclosure = 42.86%,Partial Disclosure = 35.71%,Partial Oversight = 21.43%,Partial Oversight = 14.29%,Partial Oversight = 35.71%,Partial Oversight = 50.00%,Partial Oversight = 57.14%,Partial Oversight = 7.14%
,Total No = 2,Total No = 1,Total No = 1,Total No = 1,Total No = 2,Total No = 2,Total No = 0,Total No = 0,Total No = 0,Total No = 0,Total No = 0,Total No = 0
,No Disclosure = 14.29%,No Disclosure = 7.14%,No Disclosure = 7.14%,No Disclosure = 7.14%,No Disclosure = 14.29%,No Disclosure = 14.29%,No Oversight = 0.00%,No Oversight = 0.00%,No Oversight = 0.00%,No Oversight = 0.00%,No Oversight = 0.00%,No Oversight = 0.00%
