Respondent ID,"If your organization were to adopt AI tools, what level of disclosure would you personally choose when using an LLM for bug fixing?",,,,,,"If your organization were to adopt AI tools, what level of human oversight would you personally choose when using an LLM for bug fixing?",,,,,
,LLM Usage Purpose,LLM Code Contribution,LLM Usage Pattern,LLM Usage Restriction,Disclosure Channel,Disclosure Access Level,Code Verification,Sensitive Data Protection,Security and Automated Testing,Review Responsibility,Credit and Liability Evaluation,Final Decision Ownership
1.1002E+11,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight
1.1002E+11,Full Disclosure,Partial Disclosure,Partial Disclosure,Partial Disclosure,Full Disclosure,Full Disclosure,Partial Human Oversight,Full Human Oversight,Full Human Oversight,Partial Human Oversight,Full Human Oversight,Full Human Oversight
1.1002E+11,Full Disclosure,Partial Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Partial Human Oversight,Full Human Oversight,Full Human Oversight
1.1002E+11,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Human Oversight,Full Human Oversight,Partial Human Oversight,Partial Human Oversight,Full Human Oversight,Full Human Oversight
1.1002E+11,Partial Disclosure,Partial Disclosure,Partial Disclosure,Partial Disclosure,Partial Disclosure,Partial Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight
1.1002E+11,Partial Disclosure,Partial Disclosure,Full Disclosure,Full Disclosure,Partial Disclosure,No Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight
1.1002E+11,Partial Disclosure,Partial Disclosure,Partial Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Partial Human Oversight,Full Human Oversight,Partial Human Oversight,Partial Human Oversight,Full Human Oversight,Full Human Oversight
1.1002E+11,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight
1.1002E+11,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight
1.1002E+11,Partial Disclosure,Partial Disclosure,Full Disclosure,No Disclosure,Partial Disclosure,Full Disclosure,Partial Human Oversight,Full Human Oversight,Partial Human Oversight,No Human Oversight,Partial Human Oversight,Full Human Oversight
1.1002E+11,Full Disclosure,Partial Disclosure,Partial Disclosure,Full Disclosure,Full Disclosure,Partial Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight
1.1002E+11,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Partial Human Oversight,Full Human Oversight
1.1002E+11,Full Disclosure,Full Disclosure,Partial Disclosure,Partial Disclosure,Partial Disclosure,Full Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight
1.1002E+11,Partial Disclosure,Partial Disclosure,No Disclosure,No Disclosure,Partial Disclosure,Partial Disclosure,Partial Human Oversight,Full Human Oversight,Full Human Oversight,Partial Human Oversight,Partial Human Oversight,Full Human Oversight
1.1002E+11,Partial Disclosure,Partial Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight
1.1002E+11,Partial Disclosure,Partial Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Partial Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Partial Human Oversight,Partial Human Oversight
1.1002E+11,Full Disclosure,Partial Disclosure,Partial Disclosure,Full Disclosure,Full Disclosure,Full Disclosure,Partial Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight,Full Human Oversight
1.1002E+11,Full Disclosure,Full Disclosure,Partial Disclosure,Partial Disclosure,Full Disclosure,Partial Disclosure,Full Human Oversight,Full Human Oversight,Partial Human Oversight,Partial Human Oversight,Partial Human Oversight,Full Human Oversight
1.1002E+11,Partial Disclosure,Partial Disclosure,Full Disclosure,Full Disclosure,Partial Disclosure,Partial Disclosure,Full Human Oversight,Full Human Oversight,Full Human Oversight,Partial Human Oversight,Full Human Oversight,Full Human Oversight
,,,,,,,,,,,,
,Total Full = 11,Total Full = 7,Total Full = 11,Total Full = 13,Total Full = 13,Total Full = 12,Total Full = 14,Total Full = 19,Total Full = 15,Total Full = 11,Total Full = 14,Total Full = 18
,Full Disclosure = 57.89%,Full Disclosure = 36.84%,Full Disclosure = 57.89%,Full Disclosure = 68.42%,Full Disclosure = 68.42%,Full Disclosure = 63.16%,Full Oversight = 73.68%,Full Oversight = 100.00%,Full Oversight = 78.95%,Full Oversight = 57.89%,Full Oversight = 73.68%,Full Oversight = 94.74%
